www glf w_w_w.liga
*/ glf asterisk_slash.liga
*** glf asterisk_asterisk_asterisk.liga
** glf asterisk_asterisk.liga
\\\ glf backslash_backslash_backslash.liga
\\ glf backslash_backslash.liga
]# glf bracketright_numbersign.liga
::: glf colon_colon_colon.liga
:: glf colon_colon.liga
=:= glf equal_colon_equal.liga
:= glf colon_equal.liga
!! glf exclam_exclam.liga
!== glf exclam_equal_equal.liga
!= glf exclam_equal.liga
--- glf hyphen_hyphen_hyphen.liga
--> glf hyphen_hyphen_greater.liga
->> glf hyphen_greater_greater.liga
-<< glf hyphen_less_less.liga
-> glf hyphen_greater.liga
-< glf hyphen_less.liga
-~ glf hyphen_asciitilde.liga
#### glf numbersign_numbersign_numbersign_numbersign.liga
### glf numbersign_numbersign_numbersign.liga
## glf numbersign_numbersign.liga
#{ glf numbersign_braceleft.liga
#[ glf numbersign_bracketleft.liga
#( glf numbersign_parenleft.liga
#? glf numbersign_question.liga
#_( glf numbersign_underscore_parenleft.liga
#_ glf numbersign_underscore.liga
.- glf period_hyphen.liga
.= glf period_equal.liga
... glf period_period_period.liga
..< glf period_period_less.liga
.. glf period_period.liga
?? glf question_question.liga
?= glf question_equal.liga
;; glf semicolon_semicolon.liga
/* glf slash_asterisk.liga
/== glf slash_equal_equal.liga
/= glf slash_equal.liga
/// glf slash_slash_slash.liga
// glf slash_slash.liga
||= glf bar_bar_equal.liga
|| glf bar_bar.liga
|= glf bar_equal.liga
|> glf bar_greater.liga
^= glf asciicircum_equal.liga
+++ glf plus_plus_plus.liga
++ glf plus_plus.liga
=== glf equal_equal_equal.liga
==> glf equal_equal_greater.liga
=>> glf equal_greater_greater.liga
=> glf equal_greater.liga
=<< glf equal_less_less.liga
=/= glf equal_slash_equal.liga
>- glf greater_hyphen.liga
>=> glf greater_equal_greater.liga
>>- glf greater_greater_hyphen.liga
>>= glf greater_greater_equal.liga
>>> glf greater_greater_greater.liga
>> glf greater_greater.liga
<*> glf less_asterisk_greater.liga
<* glf less_asterisk.liga
*> glf asterisk_greater.liga
<|> glf less_bar_greater.liga
<| glf less_bar.liga
<$> glf less_dollar_greater.liga
<$ glf less_dollar.liga
$> glf dollar_greater.liga
<!-- glf less_exclam_hyphen_hyphen.liga
<-- glf less_hyphen_hyphen.liga
<-> glf less_hyphen_greater.liga
<+> glf less_plus_greater.liga
<+ glf less_plus.liga
+> glf plus_greater.liga
<== glf less_equal_equal.liga
<=> glf less_equal_greater.liga
<=< glf less_equal_less.liga
<- glf less_hyphen.liga
<> glf less_greater.liga
<<- glf less_less_hyphen.liga
<<= glf less_less_equal.liga
<<< glf less_less_less.liga
<< glf less_less.liga
<~~ glf less_asciitilde_asciitilde.liga
<~ glf less_asciitilde.liga
</> glf less_slash_greater.liga
</ glf less_slash.liga
/> glf slash_greater.liga
~@ glf asciitilde_at.liga
~- glf asciitilde_hyphen.liga
~= glf asciitilde_equal.liga
~~> glf asciitilde_asciitilde_greater.liga
~> glf asciitilde_greater.liga
~~ glf asciitilde_asciitilde.liga
%% glf percent_percent.liga
&& svg ampersand_ampersand
<= svg less_equal
>= svg greater_equal
== glf equal_equal.liga
-- glf hyphen_hyphen.liga
